key,landmark(x;y;z),pose(x;y;z;r;p;y;cov[36]),velocity(u;v;w),bias(bu;bv;bw;br;bp;by)
l103,21.343899;-5.884425;2.831818,,,
l104,23.888584;-5.260017;3.135092,,,
l105,32.893623;13.125257;3.056111,,,
l106,45.285463;13.372972;3.056414,,,
l107,15.364608;-8.057228;3.342854,,,
l108,35.060347;13.004048;3.227295,,,
l109,16.425459;-7.306033;3.463984,,,
l110,18.820048;-7.210981;3.449625,,,
l113,22.760788;-5.395629;3.503325,,,
l114,28.923262;13.018433;3.422121,,,
l115,30.322321;13.060872;3.563013,,,
l116,15.323642;13.629269;3.552192,,,
l118,25.504793;13.048371;3.711382,,,
l119,16.308012;13.439180;3.658973,,,
l120,15.652044;-9.521453;3.944613,,,
l122,18.804252;-6.193031;3.820620,,,
l123,27.485089;12.724319;3.924270,,,
l124,26.706209;12.986943;3.847838,,,
l125,33.093408;13.416653;3.856266,,,
l126,14.446122;-9.941019;4.168355,,,
l128,16.398027;-6.145037;4.146507,,,
l129,23.089321;-6.080221;4.100004,,,
l130,29.123530;12.251480;4.093854,,,
l131,28.504554;12.450559;4.030291,,,
l133,19.460785;13.061663;4.057344,,,
l134,23.551915;13.067515;4.075558,,,
l135,15.479538;14.400218;4.133387,,,
l136,15.093309;-9.983018;4.303125,,,
l137,17.013127;-6.921069;4.356182,,,
l139,25.078938;12.695060;4.253497,,,
l140,20.917441;13.043592;4.268575,,,
l141,18.310592;13.126421;4.397069,,,
l142,24.689215;13.227365;4.239928,,,
l143,25.055457;-5.960167;4.429163,,,
l144,20.564779;-5.393089;4.580006,,,
l145,27.284315;11.729440;4.493421,,,
l146,19.722183;12.619977;4.568293,,,
l147,39.577274;13.106125;4.505524,,,
l148,22.897157;12.984956;4.559989,,,
l149,14.806084;-10.567465;4.741219,,,
l150,15.598186;-9.254459;4.719606,,,
l151,14.066610;-9.052426;4.729242,,,
l152,14.844075;-7.721066;4.722323,,,
l153,15.190320;-6.268287;4.628998,,,
l154,42.391271;-5.439407;4.594214,,,
l155,28.665362;11.685370;4.685363,,,
l156,21.501842;11.826365;4.786383,,,
l157,16.941594;13.132465;4.659836,,,
l158,15.214914;-8.543475;4.933144,,,
l159,15.754299;-6.739934;4.833799,,,
l160,15.991286;-5.986358;4.813341,,,
l161,22.177120;-5.126250;4.910887,,,
l162,32.594941;-5.020831;4.970898,,,
l163,22.899898;11.293294;4.980277,,,
l164,25.794782;11.413809;4.884299,,,
l165,26.544554;11.404790;5.003966,,,
l166,30.248727;11.572287;4.903858,,,
l167,19.706788;11.674766;4.973626,,,
l168,44.300591;11.954583;4.959539,,,
l169,17.191233;11.874515;5.002809,,,
l170,16.380624;12.467339;4.932310,,,
l171,16.113282;13.011124;4.966216,,,
l172,14.702854;-9.830562;5.009064,,,
l173,20.965214;-5.168024;5.136659,,,
l174,28.805984;-4.825655;5.034908,,,
l176,18.144161;11.476491;5.139541,,,
l177,14.979661;-9.123644;5.368597,,,
l178,15.553081;-7.365062;5.255301,,,
l179,15.238166;-6.096553;5.383941,,,
l180,29.520207;-5.785180;5.188114,,,
l181,26.411656;-5.384042;5.235291,,,
l182,39.924977;-4.725909;5.195791,,,
l184,29.970518;-4.605603;5.230657,,,
l186,22.345793;10.672602;5.377687,,,
l187,24.787418;11.532862;5.337546,,,
l188,16.333535;11.973453;5.307879,,,
l189,38.969303;12.426251;5.310991,,,
l190,15.310065;12.944763;5.261728,,,
l191,14.003966;-9.425564;5.562853,,,
l192,17.372486;-5.443609;5.558986,,,
l193,18.608282;-5.323375;5.471210,,,
l194,28.255526;-4.413661;5.560746,,,
l195,17.701997;11.120053;5.474911,,,
l196,15.983726;11.439474;5.597016,,,
l197,25.944511;11.522833;5.544750,,,
l198,40.899606;12.184247;5.542551,,,
l199,39.790746;12.329592;5.409535,,,
l200,16.161451;-9.335760;5.719387,,,
l201,32.187064;-4.146212;5.604888,,,
l202,32.847884;-3.867960;5.714214,,,
l203,27.551421;9.920402;5.716983,,,
l204,21.695833;10.208834;5.741720,,,
l205,18.752570;10.680275;5.651564,,,
l206,31.078460;11.503294;5.748538,,,
l207,36.148054;11.734891;5.763697,,,
l208,15.936440;12.396112;5.757865,,,
l209,29.967002;-4.019060;5.885161,,,
l211,34.102066;-3.451832;5.925436,,,
l212,28.549005;9.409181;5.869285,,,
l213,25.832359;9.691929;5.997089,,,
l214,32.763330;10.274230;5.955643,,,
l215,27.742487;11.300866;5.853886,,,
l216,32.152892;11.406680;5.919629,,,
l217,15.380388;13.374987;5.821225,,,
l218,16.699260;15.443504;5.990957,,,
l219,28.194110;-3.617141;6.160803,,,
l220,29.543179;8.983643;6.030412,,,
l221,26.944000;9.034951;6.177772,,,
l222,46.207770;9.441994;6.125065,,,
l223,33.649731;9.899120;6.084479,,,
l224,17.160887;10.123555;6.127292,,,
l225,16.095242;11.962507;6.181251,,,
l226,24.019772;-4.609738;6.389206,,,
l227,23.319706;-4.404508;6.195290,,,
l228,28.878478;-2.747629;6.290035,,,
l229,47.342917;8.861970;6.255421,,,
l230,27.754606;8.680698;6.322891,,,
l232,15.815574;10.263187;6.237419,,,
l233,26.774203;10.599987;6.265591,,,
l236,27.236311;-3.112730;6.554443,,,
l237,32.996888;-2.607050;6.453495,,,
l238,29.901547;-2.189188;6.505227,,,
l239,48.530118;8.394421;6.396849,,,
l240,26.181129;8.377049;6.589767,,,
l241,29.040133;8.351277;6.572924,,,
l242,31.845505;8.605387;6.447103,,,
l243,25.597304;8.731001;6.482846,,,
l244,42.140793;9.697687;6.561641,,,
l245,20.811563;9.920985;6.568832,,,
l246,18.814379;10.175390;6.585164,,,
l247,24.699427;10.275519;6.416313,,,
l248,16.530069;10.359568;6.457586,,,
l250,23.545272;-3.688605;6.768505,,,
l251,44.312171;-2.796723;6.722260,,,
l252,27.623165;-2.547956;6.634300,,,
l253,20.380241;-4.756152;6.902731,,,
