key,landmark(x;y;z),pose(x;y;z;r;p;y;cov[36]),velocity(u;v;w),bias(bu;bv;bw;br;bp;by)
l1859,14.774719;-7.821740;3.486759,,,
l1860,28.618299;-6.097840;3.499849,,,
l1861,44.285274;12.607402;3.613239,,,
l1862,19.928034;12.633920;3.623533,,,
l1865,41.690124;-6.324079;3.961114,,,
l1868,53.974452;10.637549;4.417122,,,
l1869,52.651696;11.345766;4.315662,,,
l1877,42.618237;11.610752;5.077665,,,
l1878,35.627243;-6.161838;5.226570,,,
l1880,44.061879;11.062159;5.242048,,,
l1884,28.477910;-6.454232;5.513580,,,
l1885,39.384654;-5.335275;5.866046,,,
l1886,32.669932;-5.309593;5.856127,,,
l1888,34.436451;10.947964;5.963011,,,
l1889,37.109653;-5.717135;6.161189,,,
l1890,36.099412;10.682181;6.259777,,,
l1891,32.801427;-3.899547;6.427170,,,
l1893,37.571603;9.060403;6.438702,,,
l1895,41.236460;10.126249;6.417144,,,
l1896,43.837415;-5.274278;6.657745,,,
l1898,31.168956;-3.703607;6.582840,,,
l1900,49.265287;7.150524;6.751980,,,
l1901,48.656711;7.466778;6.666381,,,
l1904,35.188100;8.621166;6.612543,,,
l1905,24.784309;8.510584;6.683399,,,
l1906,50.149716;-4.643493;6.806725,,,
l1907,45.145562;-4.394975;6.873685,,,
l1908,49.848676;6.880305;6.835508,,,
l1910,44.083029;9.027455;6.860854,,,
l1911,41.405996;-5.299376;7.006523,,,
l1912,38.003312;-3.520394;6.984584,,,
l1913,35.293795;-3.347602;7.023710,,,
l1914,43.117223;-4.657329;7.333556,,,
l1915,42.943370;-3.924668;7.282734,,,
l1916,47.849316;-3.010300;7.339343,,,
l1917,31.282680;-2.561592;7.144074,,,
l1918,33.971639;-2.348324;7.297164,,,
l1919,53.817194;1.004201;7.363925,,,
l1920,43.616834;-3.336250;7.408218,,,
l1925,54.519587;6.528178;7.557193,,,
l1926,40.610321;-4.695735;7.599070,,,
l1930,55.051602;6.056248;7.629778,,,
l1932,44.246436;7.603230;7.683408,,,
l1935,29.779088;4.658229;7.904182,,,
l1936,45.228560;5.940698;7.817323,,,
l1937,30.502433;7.107157;7.766858,,,
l1938,46.480623;-1.473520;7.968624,,,
